Gene_Original	ID_UniProt	Nome_Proteina	Organismo	Status
MIR146A	Q9HBD1	Roquin-2	Homo sapiens	Recuperado
MIR21	Q6ZN17	Protein lin-28 homolog B	Homo sapiens	Recuperado
LINC01185	NA	NA	NA	Confirmado Ausente
TRBV20OR9-2	A0A075B6H5	T cell receptor beta variable 20/OR9-2 (non-functional)	Homo sapiens	Recuperado
MT-CO2 / COX2	Q5RI15	Cytochrome c oxidase assembly protein COX20, mitochondrial	Homo sapiens	Recuperado
IL21-AS1	NA	NA	NA	Confirmado Ausente
LURAP1L-AS1	NA	NA	NA	Confirmado Ausente
LINC01250	NA	NA	NA	Confirmado Ausente
CCND1				FOS	NA	NA	NA	Confirmado Ausente
